method,offered_demand_gbps,served_throughput_gbps,served_ratio,unmet_demand_gbps,unmet_fraction,connected_flows,avg_hops,matched_satellite_pairs,case,config,selection,offset_minutes,snapshot_utc,evaluation_seconds,candidate_inter_shell_pairs,selected_inter_shell_pairs
SaTE,372.59019000000006,104.91302725581804,0.281577534974332,267.67716274418206,0.7184224650256681,271,20.146864686468646,976,mixed-s0-t060,mixed,0,60,2025-07-16T17:00:00,3.0626192870549858,10876,391
+Grid,374.0882500000001,76.3381153607803,0.20406445634360415,297.75013463921977,0.7959355436563958,208,27.525862068965516,977,mixed-s0-t090,mixed,0,90,2025-07-16T17:30:00,2.8037389940582216,10988,36
DRL,374.0882500000001,29.31609131808979,0.07836677927758967,344.7721586819103,0.9216332207224104,80,11.719696969696969,963,mixed-s0-t090,mixed,0,90,2025-07-16T17:30:00,3.177808829001151,10988,361
DuJo,374.0882500000001,141.52686228194258,0.37832479978171607,232.5613877180575,0.6216752002182839,365,8.950537634408603,965,mixed-s0-t090,mixed,0,90,2025-07-16T17:30:00,248.22248804499395,10988,327
MRate,374.0882500000001,90.81257235892889,0.24275708301163929,283.2756776410712,0.7572429169883607,236,19.92960288808664,967,mixed-s0-t090,mixed,0,90,2025-07-16T17:30:00,3.2333662880118936,10988,369
SaTE,374.0882500000001,90.81257235892889,0.24275708301163929,283.2756776410712,0.7572429169883607,236,19.92960288808664,967,mixed-s0-t090,mixed,0,90,2025-07-16T17:30:00,2.906188230961561,10988,369
+Grid,373.7143300000001,75.05581492761713,0.20083740146549137,298.65851507238295,0.7991625985345087,206,11.617834394904458,969,mixed-s0-t120,mixed,0,120,2025-07-16T18:00:00,2.6853328369325027,10734,19
DRL,373.7143300000001,34.34832508013095,0.09191064490390545,339.3660049198691,0.9080893550960945,98,26.204444444444444,965,mixed-s0-t120,mixed,0,120,2025-07-16T18:00:00,2.7395786070264876,10734,342
DuJo,373.7143300000001,142.9636833085671,0.3825480369151675,230.75064669143296,0.6174519630848325,365,31.56422764227642,968,mixed-s0-t120,mixed,0,120,2025-07-16T18:00:00,219.3615247599082,10734,345
MRate,373.7143300000001,111.56649392653766,0.2985341609098523,262.14783607346243,0.7014658390901477,286,13.977695167286246,970,mixed-s0-t120,mixed,0,120,2025-07-16T18:00:00,2.809914878103882,10734,370
SaTE,373.7143300000001,111.56649392653766,0.2985341609098523,262.14783607346243,0.7014658390901477,286,13.977695167286246,970,mixed-s0-t120,mixed,0,120,2025-07-16T18:00:00,2.513666642946191,10734,370
+Grid,377.41231000000005,80.25126230993075,0.21263551872468267,297.16104769006927,0.7873644812753172,216,17.21345029239766,974,mixed-s0-t180,mixed,0,180,2025-07-16T19:00:00,2.477119001909159,11047,27
